iter	RMSE
0	14.47198566
1	13.96190856
2	13.47824573
3	13.00518317
4	12.57769159
5	12.21093435
6	11.84232256
7	11.49875773
8	11.12288348
9	10.78556948
10	10.46021046
11	10.17696475
12	9.900223668
13	9.633835802
14	9.376154482
15	9.135042422
16	8.896949552
17	8.675504768
18	8.46433368
19	8.272541365
20	8.106625384
21	7.95578667
22	7.789527079
23	7.625517777
24	7.485141505
25	7.339142178
26	7.204407418
27	7.096692179
28	6.994061454
29	6.881153758
30	6.795432954
31	6.70915519
32	6.621242641
33	6.548372804
34	6.462791343
35	6.385398821
36	6.313039385
37	6.252372703
38	6.186220361
39	6.121502923
40	6.070969885
41	6.034213973
42	5.98483334
43	5.942195803
44	5.895548943
45	5.858001643
46	5.816035974
47	5.781221453
48	5.738317325
49	5.70133867
50	5.671452257
51	5.642040858
52	5.612587506
53	5.578357411
54	5.545834475
55	5.523961645
56	5.496705534
57	5.47406041
58	5.449246393
59	5.42360184
60	5.403356096
61	5.386769486
62	5.365722609
63	5.345970644
64	5.328010907
65	5.313110732
66	5.289951732
67	5.274348277
68	5.263597098
69	5.255025678
70	5.238033127
71	5.224520201
72	5.208916739
73	5.19607415
74	5.183879256
75	5.175084496
76	5.163119817
77	5.156386066
78	5.14912033
79	5.138545286
80	5.130229438
81	5.11990522
82	5.107721032
83	5.098933679
84	5.090685461
85	5.082033739
86	5.070251293
87	5.062522977
88	5.050606033
89	5.041593388
90	5.030967084
91	5.026867772
92	5.018348489
93	5.007253893
94	5.001449102
95	4.995274435
96	4.98926957
97	4.985268557
98	4.980523175
99	4.971986885
