iter	Passed	Remaining
0	141	13995
1	142	7004
2	144	4673
3	146	3515
4	148	2813
5	150	2353
6	152	2031
7	154	1779
8	156	1580
9	157	1421
10	159	1291
11	161	1183
12	163	1092
13	164	1012
14	166	944
15	168	884
16	170	831
17	172	785
18	174	743
19	176	704
20	177	668
21	179	637
22	181	608
23	183	579
24	184	554
25	186	531
26	188	509
27	189	488
28	191	468
29	193	451
30	195	434
31	196	418
32	198	402
33	199	388
34	201	374
35	203	361
36	204	348
37	206	336
38	208	326
39	209	314
40	211	304
41	212	294
42	214	284
43	216	274
44	217	265
45	218	257
46	220	248
47	222	240
48	223	232
49	225	225
50	226	217
51	228	210
52	229	203
53	231	196
54	232	190
55	234	183
56	236	178
57	237	172
58	239	166
59	240	160
60	242	154
61	243	149
62	245	143
63	246	138
64	247	133
65	249	128
66	250	123
67	252	118
68	253	113
69	254	109
70	255	104
71	257	100
72	258	95
73	259	91
74	261	87
75	262	82
76	263	78
77	265	74
78	266	70
79	268	67
80	269	63
81	270	59
82	271	55
83	273	52
84	274	48
85	275	44
86	277	41
87	279	38
88	280	34
89	281	31
90	283	28
91	284	24
92	285	21
93	287	18
94	288	15
95	290	12
96	291	9
97	293	5
98	294	2
99	295	0
