iter	Passed	Remaining
0	158	158132
1	160	79967
2	161	53830
3	163	40780
4	165	32893
5	167	27671
6	169	24036
7	171	21254
8	173	19070
9	174	17308
10	176	15872
11	178	14683
12	180	13666
13	182	12835
14	184	12089
15	185	11424
16	187	10851
17	189	10329
18	191	9861
19	192	9433
20	194	9049
21	196	8752
22	198	8442
23	200	8147
24	202	7894
25	204	7646
26	205	7411
27	207	7204
28	209	7006
29	211	6843
30	213	6678
31	215	6531
32	217	6379
33	219	6230
34	221	6095
35	222	5963
36	224	5854
37	227	5762
38	229	5656
39	231	5553
40	233	5453
41	234	5356
42	236	5259
43	238	5171
44	240	5110
45	243	5044
46	244	4967
47	246	4891
48	248	4816
49	249	4749
50	251	4686
51	254	4635
52	256	4581
53	258	4523
54	259	4461
55	261	4403
56	262	4348
57	264	4296
58	266	4245
59	268	4202
60	270	4171
61	272	4126
62	274	4079
63	275	4032
64	277	3991
65	278	3948
66	280	3904
67	282	3868
68	284	3844
69	286	3807
70	288	3771
71	289	3734
72	291	3697
73	292	3662
74	294	3627
75	295	3594
76	297	3562
77	299	3542
78	301	3511
79	302	3481
80	304	3452
81	305	3424
82	306	3388
83	308	3362
84	310	3337
85	311	3313
86	314	3296
87	315	3271
88	317	3248
89	318	3223
90	320	3199
91	321	3175
92	323	3152
93	324	3129
94	326	3111
95	328	3096
96	330	3078
97	332	3058
98	333	3037
99	335	3018
100	336	2999
101	338	2979
102	339	2960
103	341	2942
104	343	2925
105	345	2910
106	346	2893
107	348	2876
108	349	2857
109	351	2840
110	352	2822
111	354	2808
112	355	2792
113	357	2775
114	359	2766
115	360	2751
116	362	2733
117	363	2718
118	365	2702
119	366	2687
120	368	2674
121	369	2658
122	370	2644
123	372	2630
124	374	2620
125	375	2607
126	377	2592
127	378	2579
128	379	2565
129	381	2555
130	383	2542
131	384	2531
132	386	2520
133	389	2517
134	391	2508
135	393	2499
136	395	2491
137	397	2480
138	398	2471
139	400	2461
140	402	2452
141	404	2441
142	405	2431
143	407	2420
144	408	2411
145	410	2400
146	411	2389
147	413	2378
148	414	2367
149	416	2357
150	417	2348
151	419	2341
152	421	2331
153	422	2321
154	424	2311
155	425	2301
156	426	2291
157	427	2280
158	429	2270
159	430	2260
160	431	2248
161	433	2239
162	434	2231
163	436	2223
164	437	2216
165	439	2207
166	440	2198
167	442	2189
168	443	2180
169	444	2172
170	446	2163
171	448	2158
172	449	2151
173	451	2144
174	453	2136
175	454	2128
176	456	2121
177	457	2113
178	459	2105
179	460	2097
180	461	2090
181	464	2085
182	466	2080
183	467	2073
184	469	2068
185	471	2061
186	472	2055
187	474	2049
188	476	2043
189	478	2041
190	480	2035
191	482	2028
192	483	2022
193	485	2016
194	486	2010
195	488	2003
196	489	1997
197	492	1993
198	494	1990
199	496	1984
200	497	1978
201	499	1972
202	500	1966
203	502	1960
204	503	1954
205	505	1949
206	509	1951
207	510	1945
208	512	1941
209	514	1935
210	515	1929
211	517	1923
212	518	1916
213	520	1911
214	522	1907
215	524	1902
216	526	1899
217	527	1893
218	529	1887
219	530	1882
220	532	1877
221	534	1872
222	536	1868
223	538	1865
224	540	1860
225	541	1855
226	543	1849
227	544	1844
228	546	1840
229	548	1837
230	554	1845
231	557	1845
232	561	1847
233	565	1850
234	569	1853
235	572	1851
236	573	1847
237	577	1848
238	582	1855
239	587	1860
240	590	1859
241	594	1862
242	600	1869
243	604	1872
244	606	1867
245	608	1863
246	610	1861
247	618	1874
248	621	1874
249	623	1871
250	629	1879
251	631	1875
252	634	1871
253	635	1867
254	637	1863
255	639	1859
256	642	1858
257	645	1855
258	647	1852
259	648	1847
260	651	1843
261	652	1839
262	654	1834
263	657	1833
264	659	1829
265	661	1824
266	663	1820
267	664	1816
268	666	1811
269	668	1806
270	670	1802
271	672	1799
272	673	1793
273	675	1790
274	677	1785
275	678	1780
276	680	1775
277	681	1770
278	683	1766
279	686	1764
280	687	1760
281	689	1756
282	691	1751
283	692	1747
284	694	1742
285	696	1737
286	697	1733
287	700	1730
288	701	1726
289	703	1722
290	704	1717
291	706	1712
292	707	1707
293	709	1703
294	710	1698
295	712	1694
296	714	1690
297	715	1686
298	717	1681
299	718	1677
300	720	1672
301	721	1667
302	722	1663
303	724	1658
304	726	1654
305	727	1649
306	728	1645
307	730	1641
308	732	1637
309	734	1634
310	735	1629
311	736	1625
312	738	1620
313	740	1616
314	741	1612
315	742	1608
316	744	1603
317	746	1600
318	747	1596
319	749	1592
320	750	1587
321	752	1583
322	753	1580
323	755	1576
324	756	1571
325	758	1567
326	760	1564
327	761	1560
328	763	1556
329	764	1551
330	765	1547
331	767	1543
332	768	1539
333	769	1535
334	771	1531
335	772	1527
336	774	1523
337	776	1520
338	777	1516
339	779	1512
340	780	1509
341	782	1505
342	784	1502
343	786	1499
344	787	1495
345	789	1493
346	791	1489
347	792	1485
348	794	1481
349	795	1477
350	797	1473
351	798	1469
352	799	1465
353	801	1461
354	802	1457
355	804	1454
356	805	1451
357	807	1447
358	808	1443
359	809	1439
360	811	1436
361	812	1432
362	813	1428
363	815	1424
364	816	1420
365	818	1417
366	820	1414
367	822	1411
368	823	1408
369	824	1404
370	826	1400
371	827	1397
372	829	1393
373	830	1389
374	831	1386
375	833	1383
376	835	1380
377	837	1377
378	839	1374
379	840	1371
380	842	1368
381	844	1365
382	845	1362
383	847	1359
384	849	1356
385	850	1353
386	852	1350
387	853	1346
388	855	1343
389	856	1339
390	858	1336
391	859	1333
392	861	1329
393	862	1326
394	864	1324
395	866	1321
396	867	1317
397	869	1314
398	870	1311
399	872	1308
400	873	1304
401	874	1301
402	876	1298
403	878	1295
404	879	1292
405	881	1289
406	882	1285
407	883	1282
408	885	1279
409	886	1275
410	887	1272
411	889	1268
412	890	1265
413	891	1262
414	893	1259
415	895	1256
416	896	1253
417	897	1250
418	899	1247
419	900	1243
420	902	1240
421	903	1237
422	904	1234
423	906	1231
424	908	1228
425	910	1226
426	911	1223
427	912	1220
428	914	1216
429	915	1213
430	917	1210
431	918	1208
432	920	1205
433	921	1201
434	923	1199
435	925	1196
436	926	1193
437	927	1190
438	929	1187
439	930	1184
440	931	1181
441	933	1178
442	934	1175
443	936	1172
444	937	1169
445	939	1167
446	941	1164
447	942	1161
448	943	1158
449	945	1155
450	946	1152
451	948	1149
452	949	1147
453	951	1144
454	953	1141
455	955	1139
456	956	1136
457	958	1133
458	959	1130
459	961	1128
460	962	1125
461	964	1122
462	965	1119
463	967	1117
464	968	1114
465	970	1111
466	971	1109
467	973	1106
468	974	1103
469	976	1101
470	978	1098
471	979	1095
472	981	1093
473	983	1091
474	985	1088
475	986	1085
476	988	1083
477	990	1081
478	991	1078
479	993	1075
480	994	1073
481	995	1070
482	997	1067
483	999	1065
484	1001	1063
485	1002	1060
486	1004	1058
487	1006	1055
488	1007	1052
489	1008	1050
490	1010	1047
491	1011	1044
492	1013	1042
493	1015	1040
494	1017	1037
495	1018	1034
496	1019	1031
497	1021	1029
498	1022	1026
499	1023	1023
500	1025	1021
501	1026	1018
502	1028	1016
503	1030	1013
504	1032	1011
505	1033	1009
506	1035	1007
507	1037	1004
508	1041	1004
509	1045	1004
510	1046	1001
511	1048	999
512	1050	997
513	1052	995
514	1054	993
515	1056	990
516	1059	989
517	1061	987
518	1064	986
519	1066	984
520	1068	982
521	1070	980
522	1072	978
523	1075	976
524	1077	975
525	1079	972
526	1081	970
527	1083	968
528	1085	966
529	1087	964
530	1089	962
531	1091	960
532	1093	958
533	1095	955
534	1096	953
535	1098	950
536	1100	948
537	1105	949
538	1108	948
539	1111	946
540	1113	944
541	1115	942
542	1120	943
543	1122	940
544	1124	938
545	1125	936
546	1127	933
547	1129	931
548	1130	928
549	1133	927
550	1135	925
551	1137	923
552	1139	921
553	1141	919
554	1143	917
555	1146	915
556	1149	913
557	1151	912
558	1153	910
559	1155	907
560	1158	906
561	1159	904
562	1161	901
563	1166	901
564	1168	899
565	1170	897
566	1172	895
567	1174	893
568	1176	890
569	1178	888
570	1180	887
571	1182	884
572	1184	882
573	1186	880
574	1187	877
575	1189	875
576	1190	872
577	1192	870
